input_text,target_text,slang_terms,category,difficulty_level
lowkey the enemy team is playing lmao as usual,"very much the opposing team is demonstrating laughing my ass off, very funny as usual","lmao, laughter",gaming,easy
Absolutely stunning nobody predicted the rage quit,Absolutely stunning that nobody anticipated the quitting out of frustration,"rage quit, frustration",sarcasm,medium
bruh me: has one productive day. my brain: it's galaxy brain time,for real though me having one productive day and my brain saying it is overthinking to arrive at a weird conclusion time,"galaxy brain, overthinking",meme,hard
"That fit was actually sigma, no cap.","That outfit was actually independent self-made person, no lies.",sigma,chat,medium
ok so why is everyone so throwing lately?,very much why is everyone so extremely deliberately losing or making mistakes lately?,so throwing,chat,hard
The vibe in that room was literally ahh istg,The vibe in that room was literally expression filler I promise,ahh,chat,medium
Not all heroes wear capes some are simply villain era,"Not all remarkable people wear capes, some simply embody acting selfishly, prioritizing yourself","villain era, attitude",meme,hard
If you know fit you know,"If you understand outfit, clothing, you understand","fit, outfit",social_media,medium
Fyi everyone in this chat is speedrun bestie,For your information everyone in this group is completing a game as fast as possible not going to lie,"speedrun, speed",texting,medium
Thank you very much for that big mad contribution,Thank you very much for that wonderful contribution of very angry,"big mad, anger",sarcasm,hard
Omw and already feeling L,"On my way and already feeling loss, failure, bad outcome","L, failure",texting,medium
Finals are hitting different it's full hard mode,"Final exams are hitting hard, it is full intensely, excellently mode","hard, intensity",college,medium
POV: you just experienced iconic honestly energy,"From my perspective, that energy was sarcastically praising something bad","sarcasm, irony",social_media,medium
The cafeteria was trash today no cap on god,"The cafeteria served something bad quality today, no exaggeration friend","trash, poor quality",college,medium
Nobody: not a single soul: me in my lol arc: no cap,"No one, not a single person, just me in my laughing out loud, it's funny phase and that is funny","lol, laughter",meme,easy
Plot twist: it was rent free all along,Unexpected reveal: it was constantly on your mind the entire time,"rent free, obsession",social_media,medium
His reaction was so period I could not stop laughing.,His reaction was so end of discussion I could not stop laughing.,period,chat,medium
averagee on god enjoyer vs average normal personn,"The average I swear, seriously person versus the average normal person","on god, oath",meme,medium
His reaction was very highkey af i could not stop laughing.,His reaction was very extremely openly and obviously i could not stop laughing.,highkey af,chat,hard
How do people stay this bet all the time?,How do people stay this okay or agreement all the time?,bet,chat,medium
The difference between pros and noobs is just jk,The gap between professionals and beginners is simply just kidding,"jk, humor",gaming,easy
How it started: fine. how it's going: sure jan,How it began was fine but now it has become sarcastically disbelieving someone,"sure jan, disbelief",meme,medium
They were being very ong about this whole thing ngl,"They were being very on god, i swear about this whole thing i promise",ong,chat,medium
Lmk if you see any glow up energy irl,Let me know if you notice any significant positive transformation energy in real life,"glow up, transformation",texting,medium
My whole situationship is just cap,"My entire undefined relationship is just lie, untrue statement","cap, dishonesty",chat,medium
The devs really buffed the fyi again,The developers strengthened the for your information aspect again,"fyi, information",gaming,easy
"real talk this is fine (it's not, it's rizz)","I swear everything is fine but actually it is charisma, charm, ability to attract","rizz, charisma",meme,medium
The audacity of this fam behavior,"The boldness of this close friends, family-like people energy is remarkable","fam, friendship",social_media,medium
Wth why is everything so iykyk today,What the heck why is everything so if you know you know today,"iykyk, insider",texting,medium
Government wants us to stop talking about fyi ong,Those in power want us to stop discussing for your information honestly,"fyi, information",meme,easy
The pipeline from normal to nerfed is short rn,"The path from normal behavior to weakened, made less powerful is surprisingly short truly","nerfed, weakened",meme,medium
My study group is carrying me that's so cap,"My study group is helping me, which shows real lie, untrue statement","cap, dishonesty",college,medium
Omw and already feeling galaxy brain,On my way and already feeling overthinking to arrive at a weird conclusion,"galaxy brain, overthinking",texting,hard
Groundbreaking the way this is essay cooked me,Truly groundbreaking the way this demonstrates the essay exhausted me,"cooked, exhaustion",sarcasm,hard
bro this semester has been giving study grind the whole time,genuinely this entire semester has been showing working hard studying consistently,"grind, studying",college,medium
istg this era is all about big W and healing,oh my goodness this time period is about major win or achievement and personal recovery,"big W, victory",social_media,hard
She literally said this ain't it chief and walked away periodt,She literally said it with this is not good or correct and left without question,"this ain't it, disapproval",chat,hard
Pulled an all-nighter and now i am professor cooked,Stayed up all night and now I am experiencing the professor was excellent,"cooked, excellence",college,medium
Ngl that was super certified hood classic lmao,I have to admit that was quite something genuinely great from the culture seriously,"certified hood classic, authentic",chat,hard
Lowkey that whole thing was npc behavior istg,"Secretly, that whole thing felt like acting mindlessly or robotically I swear","npc behavior, behavior",chat,medium
Pulled an all-nighter and now i am idc,Stayed up all night and now I am experiencing I don't care,"idc, indifference",college,easy
dead ass the no chill is real today folks,"come on now the feeling of unable to relax, intense is very real today","no chill, intensity",social_media,medium
How do you just wake up and choose iykyk,How do you wake up and choose to be if you know you know,"iykyk, insider",chat,medium
bro the way she handled that was cap.,very much the way she handled that was extremely a lie.,so cap,chat,hard
Five stars for the cope rating truly special,"Five stars for the to manage disappointment unrealistically, truly a special experience","cope, denial",sarcasm,medium
"Wait, was that not completely L periodt","Wait, was that not completely L? friend",L,chat,medium
so impressed by this level of lowkey mid behaviorr,So thoroughly impressed by this level of slightly below average behavior,"mid, mediocrity",sarcasm,medium
You can't be that's sending me about this rn,You cannot be so that's making me laugh about this right now,"sending me, laughter",chat,hard
bro truly iconic behavior giving full outta pocket today,"hold on iconic behavior showing full inappropriate, out of line today","outta pocket, inappropriate",sarcasm,medium
Why is people so no thoughts af lately?,"Why is people so extremely not thinking, mindless lately?",no thoughts af,chat,hard
The syllabus is giving stan real quick,The course outline is displaying dedicated fan who supports intensely very early on,"stan, fan",college,medium
The simping is real today folks lmao,The feeling of being overly devoted to someone is very real today truly,"simping, devotion",social_media,medium
highkey that fit is so down bad.,very much that outfit is so desperately attracted to someone.,so down bad,chat,hard
Sis that fit is very salty.,For real though that outfit is very bitter or upset.,so salty,chat,hard
Fyi everyone in this chat is touch grass moment ong,For your information everyone in this group is a situation where someone is too online truly,"touch grass, internet use",texting,hard
The whole comment section was fanum tax af about this.,The whole comment section was extremely fanum tax about this.,fanum tax af,chat,hard
Office hours today were actually this syllabus is cooked,The professor held office hours and they were actually this syllabus is very demanding,"cooked, difficult",college,hard
Genuinely my study group is carrying me that's very clutch,"Hey my study group is helping me, which shows real coming through in a critical moment","clutch, critical moment",college,medium
Omw and already feeling respawn istg,On my way and already feeling coming back after failure not going to lie,"respawn, comeback",texting,medium
bro wya its giving bruh hours lmao,Where are you? it feels like expressing disbelief or frustration hours truly,"bruh, frustration",texting,medium
The enemy team is playing cap as usual,"The opposing team is demonstrating lie, untrue statement as usual","cap, dishonesty",gaming,medium
Campus at 2am giving big brain time energy,The campus at two in the morning has real moment of clever thinking energy,"big brain, intelligence",college,hard
dude omw and already feeling omg,"very much on my way and already feeling oh my God, I'm shocked","omg, shock",texting,easy
He is very down bad for her.,He is desperately attracted to her.,down bad,chat,medium
My friend group chat was giving villain era energy all day.,My friend group chat was giving extremely villain era energy all day.,so villain era,chat,hard
wait that was literally respawn tier gameplay,friend that was literally a coming back after failure tier performance,"respawn, comeback",gaming,medium
College budget be like: getting bodied eating habits,College finances lead to very being thoroughly defeated eating choices,"bodied, defeat",college,medium
Ok but that's giving major no chill energy,"That situation is giving off major unable to relax, intense energy","no chill, intensity",chat,medium
Bro that player just hit a AFK play ong,"That player just executed a away from keyboard, not present play not going to lie","AFK, absent",gaming,easy
chronic on god hourss who elsee periodt,"Chronic I swear, seriously hours, who can relate I swear","on god, oath",social_media,medium
That comeback was so tea af honestly.,That comeback was so extremely gossip honestly.,tea af,chat,hard
I have been on my soft launch af behavior lately no cap,I have been on my extremely subtly hinting about a relationship behavior lately without question,soft launch af,chat,hard
Idk why im being so virgin vs chad atm,I do not know why I am so weak person versus confident person right now,"virgin, chad, comparison",texting,hard
real talk the cafeteria was sweaty today no cap,"hold on the cafeteria served something playing very competitively today, no exaggeration","sweaty, competitive",college,medium
highkey solo q be like: full team of bet players,"seriously speaking solo queue feels like a team of okay, sounds good, I agree players","bet, agreement, confirmation",gaming,medium
That respawn spot is noob honestly periodt,That respawn location is genuinely inexperienced player right now,"noob, beginner",gaming,medium
The syllabus is giving imo real quick,The course outline is displaying in my opinion very early on,"imo, opinion",college,easy
Fyi everyone in this chat is giving me the ick,For your information everyone in this group is causing sudden disgust,"ick, disgust",texting,hard
That fit is very goated on god,That outfit is very being the greatest friend,so goated,chat,hard
"You cooked very hard, that was peak caught lacking.","You did very well, that was peak caught lacking.",caught lacking,chat,medium
wait the assignment instructions were L take I swear,very much the assignment instructions were so incorrect or bad opinion I promise,"L take, criticism",college,medium
dead ass ngl rn im fully in my ligma phase,seriously speaking honestly right now I am fully in my a fake disease used as a prank phase,"ligma, prank",texting,medium
Srs though can we talk about this I can't,"Seriously though can we discuss this I can't handle this, too funny or overwhelming situation","I can't, overwhelmed",texting,medium
the pipeline fromm normall to copium is short fr,The path from normal behavior to using hope to cope with disappointment is surprisingly short truly,"copium, coping",meme,medium
Genuinely cannot believe how simp this got so fast lmao,I genuinely cannot believe how quickly this became someone overly devoted to another and that is funny,"simp, devotion",sarcasm,medium
Smh the situation is so the lore,"I am disappointed, the situation is so the full backstory","lore, history",texting,medium
Lowkey that whole thing was god tier ong,"Secretly, that whole thing felt like of the highest quality and that is funny","god tier, excellence",chat,medium
Dropping the class is my understood assignment era honestly periodt,Withdrawing from this course is my did exactly what was needed phase honestly friend,"understood assignment, performance",college,medium
what a timee to be alive and experience oomfie,What a remarkable time to be alive experiencing one of my followers,"oomfie, follower",sarcasm,medium
I got wth by that last boss,I was defeated by that boss in a what the heck way,"wth, shock",gaming,medium
Ok very if you know slap you know,"Seriously speaking if you understand is excellent, hits hard, you understand","slap, quality",social_media,medium
He was being totally highkey af at the party.,He was being totally extremely openly and obviously at the party.,highkey af,chat,hard
The way the ate jumped out for no reason,"The way performed perfectly, nailed it appeared suddenly for no apparent reason","ate, performance",meme,medium
wait our strategy was complete rip but it worked,"not to overthink this but our strategy was complete that's over, too bad but somehow worked","rip, disappointment",gaming,medium
Solo q be like: full team of npc players,Solo queue feels like a team of someone acting without personality players,"npc, personality",gaming,medium
College budget be like: professor cooked eating habits,College finances lead to very the professor was excellent eating choices,"cooked, excellence",college,medium
Why is everyone so clout chaser lately,Why is everyone acting so someone seeking fame or attention these days,"clout chaser, attention",chat,medium
dude teacher: there are no wrong answers. me: big L,everyone teacher says no wrong answers and I respond with major loss or failure,"big L, failure",meme,hard
Everyone on Discord went full nah fr when that happened.,Everyone on Discord went full seriously when that happened.,nah fr,chat,medium
Bro that player just hit a getting bodied play,That player just executed a being thoroughly defeated play,"bodied, defeat",gaming,medium
Oh absolutely love how hot take this all is rn,I absolutely love how controversial opinion all of this is right now,"hot take, opinion",sarcasm,medium
Absolutely stunning nobody predicted the clout rn,Absolutely stunning that nobody anticipated the online influence or popularity and that is funny,"clout, influence",sarcasm,medium
real talk they were being so W about this whole thing.,friend they were being so extremely w about this whole thing.,so W,chat,hard
She literally said tbh and walked away,She literally said it with to be honest and left,"tbh, honesty",chat,easy
Day 47 of my idc arc and counting,Day forty-seven of my I don't care phase and still going,"idc, indifference",meme,easy
Bro wya it's giving era hours,Where are you? it feels like a personal phase or time period hours,"era, phase",texting,medium
bro that dead weekk was actually wild,"Honestly that final exam period, very stressful was really surprising","dead week, exams",chat,medium
The difference between pros and noobs is just sus ngl,"The gap between professionals and beginners is simply suspicious, not gonna lie","sus, ngl, suspicion",gaming,medium
I got ok hun by that last boss,I was defeated by that boss in a dismissively patronizing way,"ok hun, dismissal",gaming,medium
The vibe in that room was literally simp.,The vibe in that room was literally extremely someone who is overly devoted to someone.,so simp,chat,hard
"dead ass for those who don't know, this is clout chaser","I swear for those who are unfamiliar, this is someone seeking fame or attention","clout chaser, attention",social_media,medium
Ngl that was super great job doing nothing,I have to admit that was quite sarcastically criticizing inaction,"sarcasm, criticism",chat,hard
"Sis this is finee (its not, its oh wow very original)",Hey everything is fine but actually it is sarcastically noting something unoriginal,"sarcasm, originality",meme,hard
That whole situation was pure caught in 4k.,That whole situation was pure extremely caught with undeniable proof.,so caught in 4k,chat,hard
Omg that was so wth istg,Oh my goodness that was so what the heck I swear,"wth, shock",texting,medium
"omg wait, was that not completely main vibe af?","oh my goodness wait, was that not completely extremely main vibe?",main vibe af,chat,hard
Ngl rn im fully in my fr phase,"Honestly right now I am fully in my for real, seriously phase","fr, affirmation",texting,easy
How do people stay this cringe all the time istg,How do people stay this extremely embarrassing all the time? honestly,so cringe,chat,hard
you cant be touch grasss about thiss rn ong,"You cannot be so go outside, spend less time online about this right now I swear","touch grass, advice",chat,medium
Genuinely cannot believe how snap this got very fast periodt,I genuinely cannot believe how quickly this became doing something great without question,"snap, excellence",sarcasm,medium
bro if you know irl you know,"very much if you understand in real life, you understand","irl, reality",social_media,medium
I went into full hard launch mode and had no regrets.,I went into full extremely publicly announcing a relationship mode and had no regrets.,so hard launch,chat,hard
The difference between pros and noobs is simply rage quit,The gap between professionals and beginners is simply quitting out of frustration,"rage quit, frustration",gaming,medium
Thank you very much for that exposed contribution,Thank you very much for that wonderful contribution of revealed doing something embarrassing,"exposed, revealed",sarcasm,medium
His reaction was so meatriding I could not stop laughing.,His reaction was so excessive support I could not stop laughing.,meatriding,chat,medium
My study group is carrying me that'ss very meta,"My study group is helping me, which shows real the most effective current strategy","meta, strategy",college,medium
bestie bro that lowkey mid was actually wild,okay so honestly that slightly below average was really surprising,"mid, mediocrity",chat,medium
Nvm it's giving gg ez again ong,"Never mind, it is showing that was an easy win energy again without question","gg ez, victory",texting,medium
Real talk yes because what we actually needed was more copium,"Not to overthink this but yes, because what we truly needed was more using hope to cope with disappointment","copium, coping",sarcasm,medium
Genuinely that fit is very main vibe.,Honestly that outfit is very main vibe.,so main vibe,chat,hard
real talk that person has random aura today.,okay so that person has a mysterious personal energy energy today.,random aura,chat,medium
bro my whole situationship is just malding,"friend my entire undefined relationship is just mad and balding, extremely frustrated","malding, frustration",chat,medium
Groundbreaking the way this is lmk,Truly groundbreaking the way this demonstrates let me know,"lmk, notification",sarcasm,easy
Frfr though that was glazing no debate periodt,"Seriously though, that was excessively praising someone without any debate without question","glazing, praise",texting,medium
ngl she has such ghosted af energy today.,I swear she has such extremely stopped responding completely energy today.,ghosted af,chat,hard
Frfr though that was big yikes no debate,"Seriously though, that was that's very awkward or bad without any debate","big yikes, disapproval",texting,hard
dead ass tbh i'm just vibing in my S tier arc,"hold on honestly I am just relaxing in my top tier, best category phase","S tier, ranking",texting,medium
Ngl rn im fully in my pulling an all-nighter phase,Honestly right now I am fully in my staying awake all night to study or work phase,"all-nighter, studying",texting,hard
oh absolutelyy love how hot take thiss all is lmao,I absolutely love how controversial opinion all of this is honestly,"hot take, opinion",sarcasm,medium
Office hours today were actually stonks on god,"The professor held office hours and they were actually stocks, but often used humorously for a bad decision friend","stonks, irony",college,medium
fr tho current status: absolute rip,"for real though current mood: complete that's over, too bad","rip, disappointment",social_media,medium
Absolutely unhinged diff behavior honestly,Completely unhinged display of skill gap between players if I am honest,"diff, skill gap",social_media,medium
Ah yes the classic slap move we all expected,"Yes, the classic is excellent, hits hard move we all anticipated","slap, quality",sarcasm,medium
Yes continue please this fire is so helpful,"Yes please continue, this excellent, amazing is so incredibly helpful","fire, quality",sarcasm,medium
Omw and already feeling ratio + L + no cap,On my way and already feeling multiple criticisms at once,"ratio, L, no cap, criticism",texting,hard
Walked into the exam and went full fomo,Entered the exam room and immediately displayed fear of missing out,"fomo, anxiety",college,medium
wait rivetingg content truly the moots is impressivee,"hold on what riveting content, the level of mutual followers is impressive","moots, mutuals",sarcasm,medium
I am feeling actually based take af right now.,I am feeling actually extremely based take right now.,based take af,chat,hard
They were being so simp about this whole thing on god,They were being so someone who is overly devoted to someone about this whole thing I promise,simp,chat,medium
Me: has one productive day. my brain: it's lore time,Me having one productive day and my brain saying it is someone's backstory or history time,"lore, history",meme,medium
Absolutely stunning nobody predicted the ok hun,Absolutely stunning that nobody anticipated the dismissively patronizing,"ok hun, dismissal",sarcasm,medium
Surely this will go well being very oh totally and all fr,Surely this will end well given all the sarcastically agreeing involved friend,"sarcasm, disagreement",sarcasm,medium
found someone who gets the deluluu energy on god,"I found someone who genuinely understands being delusional, unrealistic expectations I promise","delulu, delusion",social_media,medium
fr tho lmk if you see any shook energy irl,"hey let me know if you notice any shocked, stunned energy in real life","shook, shock",texting,medium
The glow up is real today folks ngl,The feeling of significant positive transformation is very real today truly,"glow up, transformation",social_media,medium
Ok ttyl this is too ok hun to handle,"Okay talk later, this is too dismissively patronizing to process","ok hun, dismissal",texting,medium
genuinely that fit is so main vibe.,honestly that outfit is so main vibe.,so main vibe,chat,hard
Bestie idk why im being very no thoughts head empty atm,"Quite openly i do not know why i am very not thinking about anything, relaxed right now","no thoughts head empty, mindless",texting,hard
Jk but also not jk because it's essay cooked me,I am joking but also not joking because it is the essay exhausted me,"cooked, exhaustion",texting,hard
ok so how do people stay this ate all the time?,for real though how do people stay this ate all the time?,ate,chat,medium
The enemy team is playing op as usual,The opposing team is demonstrating overpowered as usual,"op, overpowered",gaming,medium
He's being so cap lately it's unreal on god,"He is behaving in an extremely lie, untrue statement way lately right now","cap, dishonesty",chat,medium
dude not the snap hitting different tonight,okay so the doing something great feeling is hitting differently tonight,"snap, excellence",social_media,medium
Our strategy was complete healing era but it worked periodt,Our strategy was complete focusing on personal recovery but somehow worked honestly,"healing era, growth",gaming,hard
Did you catch how ahh that was ong,Did you catch how expression filler that was? I promise,ahh,chat,medium
brb gonna go process this no chill momentt,"I will be right back, I need to process this unable to relax, intense moment","no chill, intensity",texting,medium
Corporate needs you to find the difference between no cap and normal,"Find the difference between honestly, not lying and normal behavior","no cap, honesty",meme,medium
The way this is giving getting bodied with no hesitation istg,The way this shows being thoroughly defeated so effortlessly right now,"bodied, defeat",social_media,medium
When the ick hits at 3am and you can't sleep,When the sudden feeling of disgust or dislike feeling hits at three in the morning and you cannot sleep,"ick, disgust",meme,medium
How do you simply wake up and choose clout chaser,How do you wake up and choose to be someone seeking fame or attention,"clout chaser, attention",chat,medium
Wow who could have predicted this gg wp outcome,"Who could have possibly predicted this good game, well played outcome","gg wp, acknowledgment",sarcasm,medium
My friend group chat was giving simp energy all day on god,My friend group chat was giving extremely someone who is overly devoted to someone energy all day friend,so simp,chat,hard
That respawn spot is locked in honestly,That respawn location is genuinely fully focused and concentrated,"locked in, focus",gaming,medium
Fyi everyone in this chat is ikr,For your information everyone in this group is I know right,"ikr, agreement",texting,easy
Found someone who gets the go outside energy,I found someone who genuinely understands leave the internet and live life,"go outside, advice",social_media,medium
His reaction was so fam I could not stop laughing rn,His reaction was so extremely close friend group I could not stop laughing not going to lie,so fam,chat,hard
Bro the dorm wifi is absolutely jk periodt,The dormitory internet connection is absolutely just kidding without question,"jk, humor",college,easy
When the outta pocket hits at 3am and you can't sleep ong,"When the inappropriate, out of line feeling hits at three in the morning and you cannot sleep truly","outta pocket, inappropriate",meme,medium
highkey dropping the class is my bussin bussin era honestly,everyone withdrawing from this course is my absolutely excellent phase honestly,"bussin bussin, emphasis",college,medium
ok so wow who could have predicted this imho outcome,come on now who could have possibly predicted this in my humble opinion outcome,"imho, opinion",sarcasm,medium
she is giving tryhardd energy today ngl,She is showing over trying energy today friend,tryhard,social_media,medium
My disappointment is immeasurable and my day is bozo istg,"My disappointment is significant and my day has become fool, clown, idiot honestly","bozo, insult",meme,medium
Ok but that's giving major drip energy,That situation is giving off major stylish outfit or fashion sense energy,"drip, fashion",chat,medium
My disappointment is immeasurable and my day is oh totally,My disappointment is significant and my day has become sarcastically agreeing,"sarcasm, disagreement",meme,medium
Office hours today were actually idc,The professor held office hours and they were actually I don't care,"idc, indifference",college,easy
Surely this will go well being very ratio and all fr,Surely this will end well given all the getting more replies than likes indicating poor opinion involved not going to lie,"ratio, criticism",sarcasm,medium
sis the audacity of this fam behavior,"friend the boldness of this close friends, family-like people energy is remarkable","fam, friendship",social_media,medium
The whole comment section was cap about this.,The whole comment section was extremely a lie about this.,so cap,chat,hard
lowkey plot twist: it was gg ez all along,hold on unexpected reveal: it was that was an easy win the entire time,"gg ez, victory",social_media,medium
average campingg enjoyer vs average normal person,The average staying in one spot to ambush person versus the average normal person,"camping, strategy",meme,medium
bro you cant be truly impressivee about this rn,not to overthink this but you cannot be so sarcastically praising something bad about this right now,"sarcasm, irony",chat,medium
Oh absolutely love how god tier this all is fr,I absolutely love how of the highest quality all of this is seriously,"god tier, excellence",sarcasm,medium
not to be that person but so impressed by this level of griefer behavior,truly so thoroughly impressed by this level of player who ruins others' experience behavior,"griefer, disruptor",sarcasm,medium
dead ass the way this is giving valid with no hesitation,"very much the way this shows acceptable, makes sense, understandable so effortlessly","valid, acceptance",social_media,medium
Truly iconic behavior giving full ong today ngl,"Iconic behavior showing full on God, I swear today right now","ong, oath",sarcasm,medium
Everything about this moment is ick.,Everything about this moment is extremely ick.,so ick,chat,hard
That fit is so goated on god,That outfit is so being the greatest friend,so goated,chat,hard
Truly iconic behavior giving full virgin vs chad today ong,Iconic behavior showing full weak person versus confident person today and that is funny,"virgin, chad, comparison",sarcasm,hard
My friend group chat was giving nah af energy all day.,My friend group chat was giving extremely no energy all day.,nah af,chat,hard
Absolutely unhinged chad behavior honestly,"Completely unhinged display of confident, dominant, impressive person if I am honest","chad, confidence",social_media,medium
The whole comment section was based af about this.,The whole comment section was extremely confident and unapologetic about this.,based af,chat,hard
everyone on discord went full high effort when thatt happened.,Everyone on Discord went full extremely high effort when that happened.,so high effort,chat,hard
wait im not evenn gonnaa lie that was glow up,"come on now i won't lie, that genuinely showed significant positive transformation","glow up, transformation",chat,medium
istg chronic no way that's so cool hours who else,"honestly chronic sarcastically unimpressed hours, who can relate","sarcasm, unimpressed",social_media,hard
Not the camping hitting different tonight,The staying in one spot to ambush feeling is hitting differently tonight,"camping, strategy",social_media,medium
We are very imho right now in this match lmao,We are performing at the level of in my humble opinion in this match truly,"imho, opinion",gaming,medium
Genuinely cannot believe how fyi this got so fast,I genuinely cannot believe how quickly this became for your information,"fyi, information",sarcasm,easy
Pulled an all-nighter and now i am wow so brave,Stayed up all night and now I am experiencing sarcastically praising an obvious thing,"sarcasm, irony",college,hard
Not the ligma hitting different tonight,The a fake disease used as a prank feeling is hitting differently tonight,"ligma, prank",social_media,medium
Nvm it's giving ratio again,"Never mind, it is showing getting more replies than likes indicating poor opinion energy again","ratio, criticism",texting,medium
Office hours lately were actually ok hun ngl,The professor held office hours and they were actually dismissively patronizing not going to lie,"ok hun, dismissal",college,medium
He went full rizz af mode during the match.,He went full extremely charisma or flirting skill mode during the match.,rizz af,chat,hard
The difference between pros and noobs is simply rage quit fr,The gap between professionals and beginners is simply quitting out of frustration without question,"rage quit, frustration",gaming,medium
Not to be that person but surely this will go well being very tbf and all,Truly surely this will end well given all the to be fair involved,"tbf, fairness",sarcasm,medium
"highkey that fit was actually say less, no cap.","everyone that outfit was actually understood, no lies.",say less,chat,medium
bro that midterm ate and left no crumbs im all-nighter,That midterm absolutely dominated and now I am staying up all night studying,"all-nighter, studying",college,medium
dude ngl rn im fully in my oh wow so original phase,best friend honestly right now I am fully in my sarcastically noting something unoriginal phase,"sarcasm, originality",texting,hard
They were being so frfr about this whole thing.,They were being so for real for real about this whole thing.,frfr,chat,medium
The griefer was on full chad mode lmao,"That disruptive player was operating in full confident, dominant, impressive person mode not going to lie","chad, confidence",gaming,medium
Tell me why thiss is very giving me the ick,Can someone explain why this feels very causing sudden disgust,"ick, disgust",chat,hard
bestie finals are hitting different it's full ikr mode,"hey final exams are hitting hard, it is full I know right mode","ikr, agreement",college,easy
dude nvm its giving buffed again,"hold on never mind, it is showing made stronger or more powerful energy again","buffed, strengthened",texting,medium
She has such beta af energy lately lmao,She has such extremely beta energy lately i swear,beta af,chat,hard
My sleep schedule is in its noob tube era periodt,My sleep routine is in a easy weapon used by beginners phase I promise,"noob tube, gaming",college,medium
Tbh i'm simply vibing in my dead week arc,"Honestly i am simply relaxing in my final exam period, very stressful phase","dead week, exams",texting,medium
She posted that and the energy was lit.,She posted that and the energy was extremely exciting or amazing.,so lit,chat,hard
Dropping the class is my trash era honestly ong,Withdrawing from this course is my bad quality phase honestly and that is funny,"trash, poor quality",college,medium
Not all heroes wear capes some are just lol,"Not all remarkable people wear capes, some simply embody laughing out loud, it's funny","lol, laughter",meme,easy
Current status: absolute clutch,Current mood: complete coming through in a critical moment,"clutch, critical moment",social_media,medium
They were being very she cooked about this whole thing.,They were being very extremely she did it perfectly about this whole thing.,so she cooked,chat,hard
dude gg that was a wth round ngl,"honestly well played, that was a what the heck round honestly","wth, shock",gaming,medium
my friendd group chat was giving beta energy all day..,My friend group chat was giving extremely beta energy all day.,so beta,chat,hard
sis ikr that was peak big brain time,"everyone i know right, that was the peak of moment of clever thinking","big brain, intelligence",texting,hard
Dude the difference between pros and noobs is simply grinding,Seriously speaking the gap between professionals and beginners is simply working very hard consistently,"grinding, effort",gaming,medium
real talk so impressed by this level of lowkey mid behaviorr,very much so thoroughly impressed by this level of slightly below average behavior,"mid, mediocrity",sarcasm,medium
Ok so wow so shook of you actually well done,"Very much how very shocked, stunned of you, truly well done","shook, shock",sarcasm,medium
The enemy team is playing say less as usual,"The opposing team is demonstrating understood, I get it without explanation as usual","say less, acknowledgment",gaming,medium
dead ass this semester has been giving dropping the class the whole time,everyone this entire semester has been showing withdrawing from a course consistently,"dropping, class",college,hard
If you know pressed you know,"If you understand bothered, upset about something, you understand","pressed, upset",social_media,medium
Ngl rn im fully in my clowned phase,Honestly right now I am fully in my made a fool of oneself phase,"clowned, embarrassment",texting,medium
not to be that person but nvm it's giving respawn again,"come on now never mind, it is showing coming back after failure energy again","respawn, comeback",texting,medium
"For those who don't know, this is tilted","For those who are unfamiliar, this is frustrated and off your game","tilted, frustration",social_media,medium
Hot take: people is lowkey flex,Unpopular opinion: people is somewhat experiencing showing off achievements,"flex, boasting",social_media,medium
I went into full big yikes mode and had no regrets fr,I went into full extremely big yikes mode and had no regrets right now,so big yikes,chat,hard
That whole situation was peak no sleep gang,That whole situation was the peak of people who stay up very late,"no sleep gang, exhaustion",chat,hard
Wth why is everything so speedrun today,What the heck why is everything so completing a game as fast as possible today,"speedrun, speed",texting,medium
The way this is giving carried with no hesitation,The way this shows having teammates win it for you so effortlessly,"carried, assistance",social_media,medium
dude i got ok hun by that last boss,hey i was defeated by that boss in a dismissively patronizing way,"ok hun, dismissal",gaming,medium
dude government wants us to stop talking about we do a little trolling,hold on those in power want us to stop discussing playful or mischievous behavior,"trolling, humor",meme,hard
the internet bleww up because that was straight delusional arc.,The internet blew up because that was straight delusional arc.,delusional arc,chat,medium
Fr tho he was being completely tea at the party.,Honestly he was being completely extremely gossip at the party.,so tea,chat,hard
sis she has such yikes af energy today.,quite openly she has such extremely yikes energy today.,yikes af,chat,hard
real talk live footage of me being rn,for real though live footage of me embodying right now,"rn, present time",social_media,easy
Gg that was a meta round ngl,"Well played, that was a the most effective current strategy round honestly","meta, strategy",gaming,medium
Sis bro that player simply hit a vibe check play,Come on now that player simply executed a testing if someone matches the energy play,"vibe check, assessment",gaming,medium
This is certified this syllabus is cooked and i will not explain,This is genuinely this syllabus is very demanding and I will not explain further,"cooked, difficult",social_media,hard
dude im literally we do a little trolling rn,I am literally experiencing playful or mischievous behavior right now,"trolling, humor",chat,hard
The cafeteria was professor cooked today no cap lmao,"The cafeteria served something the professor was excellent today, no exaggeration honestly","cooked, excellence",college,medium
genuinely my disappointment is immeasurable and my day is immaculate vibes,everyone my disappointment is significant and my day has become perfect atmosphere or energy,"immaculate vibes, atmosphere",meme,medium
Smh the situation is so tilted ngl,"I am disappointed, the situation is so frustrated and off your game truly","tilted, frustration",texting,medium
ok so wow so shook of you really well done,"very much how very shocked, stunned of you, truly well done","shook, shock",sarcasm,medium
