slang_term,meaning,slang_sentence,normal_sentence,source
MB,mama's boy,"He texts his mom every hour, total MB vibes.","He texts his mom every hour, total mama's boy vibes.",grok
GIF Reaction,animated response,I dropped a GIF reaction instead of typing a whole reply.,I dropped an animated response instead of typing a whole reply.,grok
X-1-10,exciting,"This new trailer looks X-1-10, can't wait for release day.","This new trailer looks exciting, can't wait for release day.",grok
@TEOTD,at the end of the day,"@TEOTD we still need to pick a restaurant, so hurry up.","At the end of the day we still need to pick a restaurant, so hurry up.",grok
Ban,block user,Had to ban the guy after he kept spamming the same link.,Had to block the guy after he kept spamming the same link.,grok
OLL,online love,They met in a Discord server and now it's full-on OLL.,They met in a Discord server and now it's full-on online romance.,grok
HAWT,have a great day,"Heading out, talk later and HAWT!","Heading out, talk later and have a wonderful day!",grok
AAMOI,just curious,"AAMOI, how long have you been collecting those figures?","Just out of curiosity, how long have you been collecting those figures?",grok
ILYSM,love you so much,"Thanks for covering my shift, ILYSM for real.","Thanks for covering my shift, I love you so much.",grok
GGP,gotta pee,"Pause the show real quick, GGP.","Pause the show real quick, I need to pee.",grok
FIIK,no idea,Where did I leave my keys? FIIK at this point.,Where did I leave my keys? I have no idea at this point.,grok
Long Game,long-term plan,"We're playing the long game, so no quick cash-outs.","We're thinking long-term, so no quick cash-outs.",grok
FBM,fine with me,Want to switch to sushi instead? FBM.,Want to switch to sushi instead? Fine by me.,grok
Wrap It Up,finish,"Okay team, wrap it up so we can grab dinner.","Okay team, finish so we can grab dinner.",grok
SorG,straight or gay,"Not trying to be weird, just curious SorG?","Not trying to be weird, just curious if you're straight or gay?",grok
brainrot af,pure mindless content,Three hours of that feed left me brainrot af.,Three hours of that feed totally fried my brain.,grok
BIL,brother-in-law,My BIL keeps borrowing my tools and never returns them.,My brother-in-law keeps borrowing my tools and never returns them.,grok
Shred,get in shape,I've been shredding every morning so I look good by July.,I've been working out every morning so I look good by July.,grok
MWAH,a kiss,"Thanks for covering my shift, MWAH!","Thanks for covering my shift, kiss!",grok
JELLY,jealous,I'm so jelly you got to skip the line.,I'm so jealous you got to skip the line.,grok
Delivered,message sent,It's been delivered since last night and still nothing.,It shows as sent since last night and still nothing.,grok
big vibe,major energy,This whole night has been big vibe with the right playlist.,This whole night has had such great energy with the right playlist.,grok
G2G,got to go,"G2G, my battery's about to die.","I have to go, my battery's about to die.",grok
VSC,soft chuckle,That caption earned a real VSC from me.,That caption got a quiet little laugh out of me.,grok
BBL,be back later,"Grabbing coffee, BBL in ten.","Grabbing coffee, back in ten.",grok
LMK,let me know,LMK if you need a ride home later.,Let me know if you need a ride home later.,grok
EOD,end of day,I promised I'd wrap the draft by EOD.,I promised I'd finish the draft by the end of the day.,grok
Main Character Energy,confident vibe,She walked in with pure main character energy.,She walked in like she owned the whole room.,grok
Voice Reveal,show your voice,Everyone's waiting for the voice reveal on stream tonight.,Everyone's waiting to finally hear her real voice on stream tonight.,grok
CRZ,crazy,The traffic this morning was CRZ.,The traffic this morning was insane.,grok
MUAH,a kiss,"Missed your face, MUAH!","Missed your face, big kiss!",grok
Jump Scare,sudden shock,That jump scare in the hallway nearly made me drop my phone.,That sudden scare in the hallway nearly made me drop my phone.,grok
TIL,today I learned,TIL octopuses have three hearts.,Today I learned octopuses have three hearts.,grok
E123,super easy,Once you know the shortcut it's E123.,Once you know the shortcut it's ridiculously easy.,grok
Talk Your Talk,speak your mind,"Go on, talk your talk, we're listening.","Go on, say what you need to say, we're listening.",grok
TANKING,completely owning,She's been tanking every quiz this semester.,She's been crushing every quiz this semester.,grok
NMJC,nothing much just chilling,"Hey, what's good? NMJC over here.","Hey, what's up? Nothing much, just hanging out.",grok
real type,honestly though,"Real type, you should just tell him how you feel.","Honestly, you should just tell him how you feel.",grok
so fr,so seriously,That excuse was weak so fr.,"That excuse was weak, for real.",grok
Corporate Speak,business jargon,Can we cut the corporate speak and just say what happened?,Can we drop the office jargon and just say what happened?,grok
Roast,mock jokingly,She roasted me so hard for spilling coffee on my shirt.,She jokingly made fun of me for spilling coffee on my shirt.,grok
ROFLCOPTER,laughing while spinning,That video had me going full ROFLCOPTER on the couch.,That video had me laughing so hard I was rolling around.,grok
BOB,back off buddy,"BOB, I already said I don't want extra toppings.","Back off, I already said I don't want extra toppings.",grok
TOU,thinking of you,Saw this meme and instantly went TOU.,Saw this meme and immediately thought of you.,grok
DGAF,don't care at all,Honestly I DGAF if the plan falls through tonight.,Honestly I don't care at all if the plan falls through tonight.,grok
RTHX,thanks for the retweet,"RTHX for boosting my post, that means a lot!","Thanks for retweeting my post, that means a lot!",grok
Cheat Meal,unhealthy treat,I'm grabbing a cheat meal of burgers after the gym.,I'm treating myself to burgers after the gym.,grok
Mom,admire like a parent,"Your whole vibe is perfect, mom me right now.","Your whole vibe is perfect, I look up to you so much.",grok
GN,good night,"I'm heading out, GN y'all.","I'm heading out, good night everyone.",grok
Glow-up,major self-improvement,He had a crazy glow-up once he started working out.,He improved so much once he started working out.,grok
Clown,completely unintelligent person,Don't listen to those clowns arguing in the comments.,Don't listen to those fools arguing in the comments.,grok
QOTD,quote of the day,My QOTD is just keep pushing no matter what.,My quote of the day is just keep pushing no matter what.,grok
GANK,ambush kill in game,They managed to gank me right as I respawned.,They ambushed me right as I came back into the game.,grok
Caught Lacking,caught unprepared,He got caught lacking without even his shoes on.,He got caught completely unprepared without even his shoes on.,grok
WUU2,what are you up to,"Hey, WUU2 this weekend if you're free?","Hey, what are you up to this weekend if you're free?",grok
T:)T,think happy thoughts,Whenever stress hits I just remind myself to T:)T.,Whenever stress hits I just remind myself to think happy thoughts.,grok
TTG,time to go,"It's getting late, TTG before the bus leaves.","It's getting late, time to go before the bus leaves.",grok
AYDY,are you done yet,AYDY with that presentation draft?,Are you done yet with that presentation draft?,grok
Career Pivot,change careers,I'm doing a career pivot into design next year.,I'm switching jobs into design next year.,grok
RUMOF,are you male or female,"Just curious real quick, RUMOF?","Just curious real quick, are you male or female?",grok
SELFIE,photo of oneself,"Hold up, let me snap a quick selfie by the mirror.","Hold up, let me take a quick photo of myself by the mirror.",grok
Legendary Item,best reward,I finally dropped a legendary item after hours of grinding.,I finally got the best reward after hours of grinding.,grok
TIAD,tomorrow is another day,"Bombed the quiz but whatever, TIAD.","Bombed the quiz but whatever, tomorrow is another day.",grok
Whip,car,We can all fit if I roll up in my whip.,We can all fit if I roll up in my car.,grok
SK8,skate,Wanna hit the park and SK8 for a bit?,Wanna hit the park and skate for a bit?,grok
PCM,please call me,"Hey when you get a sec just PCM, I need to ask you something.","Hey when you get a second just call me, I need to ask you something.",grok
STR8,straight,"I'm headed str8 home after work, no stops.","I'm headed straight home after work, no stops.",grok
EVA,ever,"That's the funniest thing I've seen eva, no joke.","That's the funniest thing I've ever seen, for real.",grok
In Sync,on the same page,Love that we're totally in sync about the group trip plans.,Love that we completely agree about the group trip plans.,grok
so bro,super chill and cool,"That whole hangout energy was so bro, we need that again.","That whole hangout energy was super chill, we need that again.",grok
Say It Louder,I strongly agree,"You already know, say it louder for everyone in the back!","You already know, I completely agree with what you just said!",grok
PSA,heads-up announcement,PSA: parking's a nightmare downtown tonight so leave early.,Just a heads-up: parking's a nightmare downtown tonight so leave early.,grok
TFF,hilarious,"That clip of the dog is TFF, I keep replaying it.","That clip of the dog is so funny, I keep replaying it.",grok
BFAW,work best friend,Gonna vent to my BFAW real quick before the next meeting.,Gonna vent to my work best friend real quick before the next meeting.,grok
CULA,see you later,"Gotta bounce, CULA and text me when you're free!","Gotta go, see you later and text me when you're free!",grok
Leg Day,leg workout,I'm dreading leg day tomorrow 'cause I can barely walk after.,I'm dreading my leg workout tomorrow because I can barely walk after.,grok
Time Crunch,super short on time,"Can't hang long, I'm in a serious time crunch right now.","Can't hang long, I'm really short on time right now.",grok
OMS,I swear,OMS I actually finished the whole show in one night.,I swear I actually finished the whole show in one night.,grok
GH,strong cards,Pulled a GH on the last round and cleaned up.,Got a really strong hand on the last round and cleaned up.,grok
BYOD,bring your own device,It's a BYOD workshop so don't forget your laptop or tablet.,It's a bring-your-own-device workshop so don't forget your laptop or tablet.,grok
WKD,weekend,Finally made it to the WKD and I'm doing absolutely nothing.,Finally made it to the weekend and I'm doing absolutely nothing.,grok
FOMC,laughing super hard,The way he tripped had me FOMC for a solid minute.,The way he tripped had me laughing so hard I almost fell out of my chair.,grok
Overthinker,person who frets too much,I'm such an overthinker that I rewrote the text five times.,I worry so much that I rewrote the text five times.,grok
ARE,place full of acronyms,"This company is a pure ARE, I need a glossary just to keep up.","This company is packed with acronyms, I need a glossary just to keep up.",grok
EWG,teasing grin,He sent that with a full EWG so I know he's joking.,He sent that with a teasing grin so I know he's joking.,grok
AIGHT,alright,"Aight cool, meet me at the spot around seven.","Alright cool, meet me at the spot around seven.",grok
OMGYS,you really suck,OMGYS how did you miss that wide open shot?,"Oh my gosh you suck, how did you miss that wide open shot?",grok
Hard Launching,publicly revealing,They're hard launching the new relationship with matching pics.,They're publicly revealing the new relationship with matching pics.,grok
Poggers,super exciting,"That surprise guest drop was poggers, I screamed.","That surprise guest drop was so exciting, I screamed.",grok
Comfort Song,calming favorite track,Hitting play on my comfort song the second I get home.,Putting on my favorite calming song the second I get home.,grok
KOTC,kiss on the cheek,She hit me with a quick KOTC then bounced to her car.,She gave me a quick kiss on the cheek then left for her car.,grok
AAF,as a matter of fact,AAF I already ordered the pizza so just chill.,Actually I already ordered the pizza so just relax.,grok
BAM,pretty dense,Bro showed pure BAM when he missed that easy question.,He really came off as pretty dense when he missed that easy question.,grok
SB,bounce back,After that L he needs to SB and keep grinding.,After that loss he needs to bounce back and keep working.,grok
THT,think happy thoughts,Whenever the stress hits I just THT and breathe.,Whenever the stress hits I just try to think happy thoughts and breathe.,grok
Goated,greatest ever,"That comeback was goated, everyone was screaming.","That comeback was the greatest ever, everyone was screaming.",grok
88,bye-bye,"Alright I'm out, 88 y'all.","Alright I'm leaving, bye everyone.",grok
GGMSOT,gotta get some of that,"Those fries smell crazy, GGMSOT right now.","Those fries smell amazing, I gotta get some of that right now.",grok
OMG,oh my god,OMG did you see how hard he wiped out?,Oh my god did you see how hard he wiped out?,grok
so valid,completely right,Your whole rant about the deadline is so valid.,Your whole rant about the deadline is completely right.,grok
Bright Side,positive aspect,"At least look at the Bright Side, we still have tickets.","At least look at the positive aspect, we still have tickets.",grok
Problematic,pretty controversial,That old tweet of his is so Problematic now.,That old tweet of his is pretty controversial now.,grok
Wild,out of control,The afterparty got Wild real quick.,The afterparty got completely out of control real quick.,grok
TILIS,tell it straight,My girl always TILIS even when it hurts.,My girlfriend always tells it straight even when it hurts.,grok
FF,follow Friday,It's FF so go show my friends some love.,It's follow Friday so go show my friends some love.,grok
555,full-on crying,That ending had me 555 for like ten minutes.,That ending had me full-on crying for like ten minutes.,grok
Late Night Thoughts,overthinking at night,Stuck with Late Night Thoughts about every awkward thing I said.,Stuck overthinking at night about every awkward thing I said.,grok
Moon Phase,mood cycle,"Don't mind me, just in a weird Moon Phase this week.","Don't mind me, just in a weird mood cycle this week.",grok
IWIAM,total idiot,Bro is a pure IWIAM for trusting that scam.,That guy is a total idiot for trusting that scam.,grok
Healing Journey,working on recovery,I'm still on my Healing Journey after everything last year.,I'm still working on recovery after everything last year.,grok
Leveling Up,improving life,Been Leveling Up my whole routine this month.,Been improving my whole life routine this month.,grok
OTFL,laughing hard,That video had me OTFL in the kitchen.,That video had me laughing hard in the kitchen.,grok
Overstimulated,too much going on,The lights and noise left me totally Overstimulated.,The lights and noise left me with way too much going on.,grok
WUP,what's up,"WUP, you free to hang in a bit?","What's up, you free to hang out in a bit?",grok
drip af,looking super stylish,He rolled up drip af and the whole room noticed.,He rolled up looking super stylish and the whole room noticed.,grok
Absolute Unit,very big,"Bro that linebacker is an absolute unit, he just ran through everyone.","Man that linebacker is massive, he just plowed through everyone.",grok
so nah,tragic unrequited ship,Ugh I'm still stuck in that so nah mess and I regret hitting send every day.,Ugh I'm still stuck in that painful one-sided crush and I regret that email every day.,grok
True Path,correct way,"Once I found the true path on this build, everything clicked.","Once I figured out the right way to do this build, everything clicked.",grok
LMAO,laughing hard,The way he slipped on the ice had me LMAO for like ten minutes.,The way he slipped on the ice made me crack up for like ten minutes.,grok
Living Proof,clear example,She's living proof you can switch careers and still crush it.,She's a clear example that you can switch careers and still do great.,grok
AAK,asleep at keyboard,"My bad for the slow reply, I was totally AAK after that long stream.","Sorry for the late reply, I fell asleep at my keyboard after that long stream.",grok
PSOS,parent over shoulder,"Gotta keep it clean rn, PSOS is right behind me.","Gotta keep it clean right now, my parent is standing right behind me.",grok
Energy Boost,extra motivation,That pep talk from coach was the energy boost I needed before the game.,That pep talk from coach was the extra push I needed before the game.,grok
HAGN,have a good night,"I'm logging off, HAGN y'all.","I'm logging off, have a good night everyone.",grok
Time Shift,change schedule,Can we time shift the meeting to after lunch? Mornings are packed.,Can we move the meeting to after lunch? Mornings are packed.,grok
Recharge,rest up,I'm staying in this weekend so I can actually recharge.,I'm staying in this weekend so I can actually rest and recover.,grok
GTFO,get out now,"If you're just gonna complain the whole time, GTFO of my car.","If you're just gonna complain the whole time, get out of my car.",grok
Cold Take,obvious opinion,"Saying the sequel was worse is such a cold take, everyone already knows.","Saying the sequel was worse is such an obvious take, everyone already knows.",grok
NH,nice hand,"NH on that last round, you played it perfectly.","Nice hand on that last round, you played it perfectly.",grok
CMGR,community manager,The CMGR just dropped the new event schedule in the Discord.,The community manager just posted the new event schedule in the Discord.,grok
Quiet Luxury,subtle rich style,"Her whole closet is quiet luxury, no big logos anywhere.","Her whole closet is understated wealth, no big logos anywhere.",grok
goated af,absolutely the best,"That playlist for the road trip is goated af, zero skips.","That playlist for the road trip is absolutely the best, zero skips.",grok
Power Shift,change in control,After the new hire came in there was a real power shift on the team.,After the new hire came in there was a real change in who runs the team.,grok
Mandela Effect,false shared memory,"I swear the logo used to be different, this has to be a Mandela Effect.","I swear the logo used to be different, this has to be a false memory thing.",grok
OA,online auctions,I snagged that vintage jacket from OA for way less than retail.,I got that vintage jacket from an online auction for way less than retail.,grok
GTFOH,get out of here,You actually believed that story? GTFOH.,You actually believed that story? Get out of here.,grok
AYT,are you there,AYT? I've been waiting on that file for like an hour.,Are you there? I've been waiting on that file for like an hour.,grok
TGIF,thank god it's friday,"TGIF, I am done with this week already.","Thank god it's Friday, I am done with this week already.",grok
Code Red,serious problem,"We've got a code red on the website, nothing's loading.","We've got a serious problem on the website, nothing's loading.",grok
Chaotic,wild behavior,Their group chat is pure chaotic every single night.,Their group chat is completely wild every single night.,grok
WOMBAT,waste of time and money,That whole certification course turned out to be a total WOMBAT.,That whole certification course turned out to be a complete waste of time and money.,grok
Vibe Shift,atmosphere change,There was a massive vibe shift the second the boss walked into the room.,The whole atmosphere changed the second the boss walked into the room.,grok
EQ,EverQuest game,I stayed up till 3am grinding EQ with my guild again.,I stayed up till 3am playing EverQuest with my guild again.,grok
E2EG,huge smile,She got the job offer and went full E2EG on the call.,She got the job offer and was grinning ear to ear on the call.,grok
PLZTLME,please tell me,PLZTLME you remembered to pick up the cake this time.,Please tell me you remembered to pick up the cake this time.,grok
Own It,take responsibility,"You blew the deadline, so just own it and fix it fast.","You missed the deadline, so take responsibility and fix it fast.",grok
Benching,sidelining a date,I think he's benching me while he keeps talking to that other girl.,I think he's putting me on the side while he keeps talking to that other girl.,grok
WRT,regarding,"WRT the budget cuts, we need a new plan by Friday.","Regarding the budget cuts, we need a new plan by Friday.",grok
GIGO,bad input bad results,Don't forget GIGO when you feed that dataset into the model.,Don't forget bad data gives bad results when you feed that into the model.,grok
UFN,until more notice,The pool is closed UFN while they fix the filter.,The pool is closed until further notice while they fix the filter.,grok
FIIOOH,I'm leaving now,"This meeting is going nowhere, FIIOOH.","This meeting is going nowhere, forget it I'm out of here.",grok
Momentum Shift,direction change,That interception caused a huge momentum shift in the game.,That interception completely changed the direction of the game.,grok
L8R,later,"Gotta run to class, talk L8R.","Gotta run to class, talk later.",grok
LFD,left for the day,Manager already LFD so we can finish this tomorrow.,Manager already left for the day so we can finish this tomorrow.,grok
WRU,where are you,WRU? The rest of us are already at the gate.,Where are you? The rest of us are already at the gate.,grok
AYOR,at your own risk,You can try that sketchy shortcut AYOR.,You can try that sketchy shortcut at your own risk.,grok
LMBO,laughing hard,That video had me LMBO for like five minutes straight.,That video had me laughing so hard for like five minutes straight.,grok
so based,really true or cool,Your take on that whole situation is so based.,Your take on that whole situation is so right.,grok
ABT,about,What's that new show ABT that everyone's watching?,What's that new show about that everyone's watching?,grok
4EVA,forever,Me and my best friend are sticking together 4EVA.,Me and my best friend are sticking together forever.,grok
BG,big smile,He walked in with a huge BG after the surprise party.,He walked in with a huge grin after the surprise party.,grok
NE1,anyone,Does NE1 have a charger I can borrow for a sec?,Does anyone have a charger I can borrow for a sec?,grok
WAM,wait a minute,"WAM, did you just say the concert is tonight?","Wait a minute, did you just say the concert is tonight?",grok
DWF,divorced white woman,Her dating profile just says DWF looking for someone fun.,Her dating profile just says divorced white female looking for someone fun.,grok
SS,so sorry,SS I totally forgot we had plans tonight.,I'm so sorry I totally forgot we had plans tonight.,grok
BOSMKL,laughing really hard,That roast was so savage I was BOSMKL the whole way home.,That roast was so savage I laughed my head off the whole way home.,grok
Liminal Space,empty eerie places,Walking through that empty airport at 3 a.m. felt like pure liminal space.,Walking through that empty airport at 3 a.m. felt super eerie and in-between.,grok
Fit Spo,outfit spoiler,Dropping a fit spo for Saturday so you can match energy.,Here's a quick peek at my outfit for Saturday so you can match.,grok
DC,disconnect,"Sorry I had to DC mid-raid, my router just died.","Sorry I had to drop out mid-raid, my router just died.",grok
Dead,extremely funny,The way he tripped over nothing has me dead.,The way he tripped over nothing is cracking me up.,grok
DEEZ NUTZ,annoying prank phrase,He asked who left the door open and I just said DEEZ NUTZ.,He asked who left the door open and I hit him with that dumb joke just to mess with him.,grok
2MORO,tomorrow,We can finish the group project 2MORO after lunch.,We can finish the group project tomorrow after lunch.,grok
QFI,shared for being dumb,Just saw his latest post and had to hit QFI.,Just saw his latest post and had to share it because it was so dumb.,grok
Skin,character appearance,I spent all my coins on the new skin for my main.,I spent all my coins on the new look for my main character.,grok
OMGYG2BK,oh my god kidding,OMGYG2BK they actually canceled the concert?,"Oh my god are you kidding, they actually canceled the concert?",grok
NOOB,bad at games,"Stop camping spawn, you absolute noob.","Stop camping spawn, you absolute beginner.",grok
Golden Hour,best moment,When the whole team finally synced up that was our golden hour.,When the whole team finally synced up that was our perfect moment.,grok
YCLIU,look it up yourself,"I'm not explaining the lore again, YCLIU.","I'm not explaining the lore again, you can look it up yourself.",grok
Boujee,fancy materialistic,"She only drinks oat milk lattes now, getting real boujee.","She only drinks oat milk lattes now, getting super fancy.",grok
1DR,I wonder,1DR if the new season drops this week.,I wonder if the new season drops this week.,grok
CUA,see you around,"Gotta bounce to practice, CUA.","Gotta head to practice, see you around.",grok
DORBS,adorable,Those baby goats in the video are pure dorbs.,Those baby goats in the video are pure adorable.,grok
Deep Dive,research deeply,I'm about to deep dive into that whole conspiracy thread.,I'm about to research that whole conspiracy thread thoroughly.,grok
FC’INGO,for crying out loud,FC’INGO the Wi-Fi is down again right before class.,For crying out loud the Wi-Fi is down again right before class.,grok
Snake,backstabber,"He told the coach everything, total snake move.","He told the coach everything, total backstabber move.",grok
HALP,help,HALP I locked myself out of the group chat again.,Help I locked myself out of the group chat again.,grok
OYO,on your own,"No more hints, you figure the puzzle OYO.","No more hints, you figure the puzzle on your own.",grok
Creative Spark,new idea,Late night coffee gave me a creative spark for the chorus.,Late night coffee gave me a fresh idea for the chorus.,grok
Spotlight Moment,attention time,When she hit that high note it became her spotlight moment.,When she hit that high note it became her big attention moment.,grok
CU,see you,"Class is over, CU at the cafeteria.","Class is over, see you at the cafeteria.",grok
Mind Shift,change thinking,That podcast gave me a real mind shift on how I handle stress.,That podcast completely changed how I think about dealing with stress.,grok
Hard Reset,restart life,"After everything that went down, I need a hard reset and a new city.","After everything that happened, I need to restart my life in a new city.",grok
H-BDAY,happy birthday,"H-BDAY king, hope the day treats you right!","Happy birthday man, hope the day treats you well!",grok
HB,hurry back,"Grab the snacks real quick and HB, movie’s starting.","Grab the snacks real quick and hurry back, the movie’s starting.",grok
LIK,liquor,We’re picking up some LIK before heading to the pregame.,We’re grabbing some liquor before heading to the pregame.,grok
Too Much Sauce,overconfidence,He’s walking around with too much sauce like nobody else is in the room.,He’s walking around way too full of himself like nobody else is there.,grok
Buzzed,slightly excited,I’m still buzzed about landing that interview next week.,I’m still a bit excited about getting that interview next week.,grok
S’OK,it is okay,"S’OK if you can’t make it, we’ll catch up another time.","It’s fine if you can’t make it, we’ll catch up another time.",grok
On god,I swear it’s true,On god that place has the best fries I’ve ever tasted.,I swear that place has the best fries I’ve ever tasted.,grok
RBAY,right back at you,"You crushed it out there tonight, RBAY!","You crushed it out there tonight, same to you!",grok
IA8,I already ate,"Appreciate the invite but IA8, so I’m just gonna sip.","Thanks for the invite but I already ate, so I’m just gonna drink.",grok
GTG,got to go,"This convo is fun but GTG, my ride’s outside.","This chat is fun but I have to go, my ride’s outside.",grok
HAK,hug and kiss,"Safe travels, text me when you land, HAK!","Safe travels, text me when you land, hugs and kisses!",grok
TMA,take my advice,TMA and sleep on it before you reply to that text.,Take my advice and sleep on it before you answer that text.,grok
Side Quest,small task,I gotta run a quick side quest to the store then I’m free.,I just need to run a quick errand to the store then I’m free.,grok
CMB,call me back,I’m at work so just leave a message and CMB later.,I’m at work so just leave a message and call me back later.,grok
ILY,I love you,"Thanks for always showing up for me, ILY for real.","Thanks for always being there for me, I love you for real.",grok
Crossroads,important decision,I’m at a real crossroads about staying in school or going full-time.,I’m facing a big decision about staying in school or working full-time.,grok
Sus,suspicious,"That whole story he told us felt kinda sus, not gonna lie.","That whole story he told us felt pretty suspicious, honestly.",grok
Sudden Boost,unexpected energy,I hit a sudden boost mid-afternoon and cleaned the whole place.,I got a random burst of energy mid-afternoon and cleaned the whole place.,grok
Hard,very impressive,"The way she finished that set was hard, everyone was hyped.","The way she finished that set was really impressive, everyone was excited.",grok
Light Work,easy task,"Fixing the playlist was light work, took me like five minutes.","Fixing the playlist was easy, it only took me about five minutes.",grok
SOT,short of time,I’m SOT so can we skip the long intro and jump in?,I’m short on time so can we skip the long intro and start?,grok
ADDY,address,Drop the ADDY in the group chat so nobody gets lost.,Put the address in the group chat so nobody gets lost.,grok
Not you,playful call-out,Not you showing up with the same excuse as last week.,Of course it’s you showing up with the same excuse as last week.,grok
AO,Anarchy Online game,Spent all weekend grinding AO with the guild.,Spent all weekend playing Anarchy Online with the guild.,grok
Balance Check,life evaluation,I need a balance check before I take on more work.,I need to evaluate my life before I take on more work.,grok
dead af,totally finished,That influencer's career is dead af after the drama.,That influencer's career is completely over after the drama.,grok
Zoom Fatigue,video call exhaustion,I've got serious Zoom Fatigue from back-to-back meetings.,I'm exhausted from all these endless video calls.,grok
OI,operator unavailable,"Can't reply right now, I'm OI till later.","Can't reply right now, I'm unavailable till later.",grok
GTSY,great to see you,"GTSY at the reunion, it's been forever!","It was great to see you at the reunion, it's been forever!",grok
ISO,looking for,ISO a cheap couch for my new place.,I'm looking for a cheap couch for my new place.,grok
TG,thank goodness,TG the test got postponed till next week.,Thank goodness the test got postponed till next week.,grok
UNA,no acronyms allowed,Please UNA in this thread so everyone can follow.,Please skip the acronyms in this thread so everyone can follow.,grok
BRB,be right back,"BRB, just grabbing my charger real quick.","Be right back, just grabbing my charger real quick.",grok
Gucci,all good,"Don't worry about me, everything's Gucci.","Don't worry about me, everything's fine.",grok
Buzzkill,fun ruiner,Stop being a buzzkill and just enjoy the night.,Stop ruining the mood and just enjoy the night.,grok
THOT,that girl over there,Did you see that THOT talking to my ex?,Did you see that girl over there talking to my ex?,grok
Backseat Driver,control freak,Quit being a backseat driver and let me finish this.,Quit being a control freak and let me finish this.,grok
KNOW,knowledge,I need the KNOW on how this app works.,I need the knowledge on how this app works.,grok
Shitpost,low-effort joke,This feed is full of random shitposts today.,This feed is full of random low-effort jokes today.,grok
Template,reusable meme format,This new template is perfect for the group chat.,This new reusable meme format is perfect for the group chat.,grok
XD,hard laugh,That video had me XD for like five minutes.,That video made me laugh so hard for like five minutes.,grok
fomo,fear of missing out,I've got huge fomo about skipping the trip.,I'm really scared of missing out by skipping the trip.,grok
LH6,let's have sex,Want to LH6 after dinner?,Want to have sex after dinner?,grok
Ultra Rare,very uncommon,That skin drop is ultra rare in the game.,That skin drop is super uncommon in the game.,grok
Noise Cancel,block out distractions,I need to noise cancel and finish this paper.,I need to block out distractions and finish this paper.,grok
VWD,very well done,VWD on nailing that pitch today!,Very well done on nailing that pitch today!,grok
ASLA,age sex location availability,Drop your ASLA if you're free tonight.,"Tell me your age, sex, location and if you're free tonight.",grok
KEYME,text me when home,KEYME when you get in so we can plan.,Text me when you get home so we can plan.,grok
Quiet Strength,hidden power,"She moves with quiet strength, never shows how much she can carry.","She carries herself with a hidden power, never lets on how much she can handle.",grok
Cloud Nine,very happy,I've been on cloud nine ever since she said yes to the date.,I've been so happy ever since she agreed to go out with me.,grok
LFM,looking for more,LFM for ranked tonight if anyone wants to stack.,Looking for more people for ranked tonight if anyone wants to join.,grok
F2F,face to face,"We need to settle this F2F, texts aren't cutting it.","We need to talk this out in person, messages aren't enough.",grok
Rug Pull,scam project,"Dude that whole token was a rug pull, everybody got wrecked.","Man that whole token was a scam project, everybody lost money.",grok
TYFC,thank you for charity,"TYFC for the bits, stream means a lot tonight.","Thanks for the donation, this stream means a lot tonight.",grok
FUBB,fouled up beyond belief,The whole server is FUBB after that last push.,The whole server is completely wrecked after that last update.,grok
FYI,for your information,FYI the deadline got pushed back another week.,Just letting you know the deadline got moved another week.,grok
Patch Notes,update list,Skim the patch notes real quick before we hop on.,Look over the list of changes real quick before we start.,grok
FISH,"first in, still here",Been FISH in this lobby for like forty minutes.,I've been first in and still waiting in this lobby for forty minutes.,grok
EIP,editing in progress,"Don't quote me yet, EIP on that caption.","Don't take that as final, I'm still editing the caption.",grok
POS,parent over shoulder,"Gotta keep it clean, POS right now.","I have to watch what I say, my parent is right behind me.",grok
Beta Version,test release,The beta version crashes every time I open inventory.,The test release keeps crashing whenever I open the inventory.,grok
Main Quest,important task,"Can't mess around, this main quest is due Friday.","I can't mess around, this important task is due Friday.",grok
SMHID,scratching my head in disbelief,SMHID at the excuse they just gave for missing the meeting.,I'm sitting here dumbfounded by the excuse they gave for missing the meeting.,grok
Quick Read,short info,Just need a quick read on how the pitch went.,Just need a short rundown of how the pitch went.,grok
Smooth Ride,easy process,Getting approved was a total smooth ride this time.,Getting approved was a really easy process this time.,grok
KDFU,cracking up,That clip had me KDFU for a solid minute.,That clip had me laughing hard for a solid minute.,grok
Indie Sleaze,messy fashion style,She's rocking full indie sleaze with the smudged liner and thrifted blazer.,She's wearing that messy fashion look with smudged liner and a thrifted blazer.,grok
IC,I see,"IC, so we need to switch the whole plan then.","Got it, so we need to change the whole plan then.",grok
Hyperfixation,strong focus,I've been in a hyperfixation on baking videos all week.,I've been completely locked into baking videos all week.,grok
DH,dear husband,My DH is handling bedtime so I can finish this.,My husband is putting the kids down so I can finish this.,grok
OMW,on my way,"OMW, traffic is light so I'll be early.","I'm heading over now, traffic is light so I'll be early.",grok
Alt,alternative account,I only post spicy takes on my alt.,I only post my wilder opinions on my other account.,grok
HAU,how about you?,"Just got home and I'm beat, HAU?","Just got home and I'm exhausted, how about you?",grok
NMH,not much here,"Hey what's good? NMH, just scrolling on my phone.","Hey what's up? Not much happening, just scrolling on my phone.",grok
W3,world wide web,I looked it up on the W3 and found the answer right away.,I looked it up online and found the answer right away.,grok
